Old Order Id,What is wrong,Magento Sku/eCodes_ID,gp_sku/product_sk,
 1027878-37159213,gpsku mismatch,PD-W-VA-P-2009-000001,8730PVA09   ,8730PVA09
 1027969-56890333,gpsku empty,CA-P-2010-000007,8700SCA10,
 1028380-37343669,gpsku empty,IC-P-2006-000005,8730S06,
 1028593-95991483,gpsku mismatch,PD-W-SP-P-2009-000006,,8760SP09
 1029446-49104073,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1029784-70856235,gpsku mismatch,PD-W-VA-P-2009-000001,8730PVA09   ,8730PVA09
 1030180-47525847,gpsku empty,OH-P-2006-000001,8710SOH06,
 1031852-84536738,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1031956-86466149,Cannot find PD-M-CT-P-2005-000003,,,
 1032143-73203506,gpsku mismatch,PD-W-VA-P-2009-000001,8730PVA09   ,8730PVA09
 1032734-39724531,Cannot find PD-W-FS-P-2000-000001,,,
 1033006-49318052,gpsku mismatch,PD-W-VA-P-2009-000001,8730PVA09   ,8730PVA09
 1033066-56395902,Cannot find PD-W-IC-P-2000-000014,,,
 1033281-42409696,Cannot find PD-W-IC-P-2000-000014,,,
 1033474-71746711,gpsku mismatch,PD-W-VA-P-2009-000001,8730PVA09   ,8730PVA09
 1033783-22860652,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1033978-21129781,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1034072-17746960,Cannot find PD-W-CT-P-2005-000003,,,
 1034105-61670850,Cannot find PD-W-CT-P-2005-000003,,,
 1034373-24514331,Cannot find PD-W-CT-P-2005-000003,,,
 1034442-85582755,gpsku empty,IC-P-2009-000025,8722S09,
 1035145-61911217,Cannot find PD-M-CT-P-2005-000003,,,
 1035822-96922352,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1037912-38300578,gpsku mismatch,PD-W-VA-P-2009-000001,8730PVA09   ,8730PVA09
 1038188-89115827,gpsku empty,IC-P-1995-000001,8710S95,
 1038289-73103392,gpsku empty,IC-P-2009-000005,8730S09,
 1038474-99818116,gpsku mismatch,PD-W-VA-P-2009-000001,8730PVA09   ,8730PVA09
 1038562-50065276,gpsku empty,CC-P-2009-000010,8709S09,
 1039147-62434982,gpsku empty,CA-P-2010-000007,8700SCA10,
 1039280-45960841,gpsku empty,CA-P-2010-000006,8710SCA10,
 1039922-46596059,gpsku empty,CA-P-2010-000003,8701SCA10,
